Username,User Input,Chatbot Response,Timestamp
Kohli,pmay,प्रधानमंत्री आवास योजना (ग्रामीण) ग्रामीण गरीबांसाठी परवडणारी घरे उपलब्ध करून देते.,2025-05-09 10:50:45
Kohli,pmay in english,प्रधानमंत्री आवास योजना (ग्रामीण) ग्रामीण गरीबों के लिए किफायती आवास प्रदान करती है।,2025-05-09 10:51:00
Kohli,pmay,ପ୍ରଧାନମନ୍ତ୍ରୀ ଆବାସ ଯୋଜନା (ଗ୍ରାମୀଣ) ଗ୍ରାମୀଣ ଦରିଦ୍ର ପାଇଁ ସସ୍ତା ଘର ପ୍ରଦାନ କରେ।,2025-05-09 10:53:27
Kohli,pmay,Pradhan Mantri Awas Yojana (Rural) provides affordable housing for the rural poor.,2025-05-09 11:06:02
Kohli,mgnera,"The Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) provides financial assistance of rs6,000 per year to farmers for their agricultural needs.  
Required documents: Aadhaar Card, Bank Account Details, Land Record Documents, Mobile Number.  
Eligibility: Small and marginal farmers owning less than 2 hectares of agricultural land.  
Registration platform: Apply online at https://pmkisan.gov.in or through the nearest CSC (Common Service Center).",2025-05-09 11:06:30
Kohli,mgnrega,"The Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) ensures 100 days of employment to rural households.  
Required documents: Job Card, Aadhaar Card, Bank Account Details.  
Eligibility: Adult members of rural households willing to do unskilled manual work.  
Registration platform: Applications can be submitted at the local Gram Panchayat office.",2025-05-09 11:07:10
Kohli,ujjwala,"The PM Ujjwala Yojana provides free LPG connections to BPL families to promote clean cooking fuel.  
Required documents: Aadhaar Card, BPL Certificate, Address Proof, Bank Account Details.  
Eligibility: Women from BPL families without an existing LPG connection.  
Registration platform: Apply at the nearest LPG distributor or online at https://www.pmuy.gov.in.",2025-05-09 11:07:31
Kohli,pmay,பிரதான் மந்திரி அவாஸ் யோஜனா (கிராமப்புறம்) கிராமப்புற ஏழைகளுக்கு மலிவான வீடுகளை வழங்குகிறது.,2025-05-09 14:34:50
Kohli,mgnrega,"The Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) ensures 100 days of employment to rural households.  
Required documents: Job Card, Aadhaar Card, Bank Account Details.  
Eligibility: Adult members of rural households willing to do unskilled manual work.  
Registration platform: Applications can be submitted at the local Gram Panchayat office.",2025-05-09 14:35:06
Kohli,mgnrega,"The Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) ensures 100 days of employment to rural households.  
Required documents: Job Card, Aadhaar Card, Bank Account Details.  
Eligibility: Adult members of rural households willing to do unskilled manual work.  
Registration platform: Applications can be submitted at the local Gram Panchayat office.",2025-05-09 16:53:40
Dhoni,start up india,"The Stand-Up India scheme supports women and SC/ST entrepreneurs with loans between rs10 lakh to rs1 crore for setting up businesses.  
Required documents: Aadhaar Card, PAN Card, Caste Certificate (if applicable), Business Plan, Bank Account Details.  
Eligibility: Women or SC/ST individuals above 18 years planning to start a business.  
Registration platform: Online application available at https://www.standupmitra.in or through bank branches.",2025-05-16 19:17:35
